feature,mean_abs_shap,signed_mean_shap,task,model,target
path_length,0.3818800438799623,0.15854813148694197,house,Linear Regression,stress
stop_ratio,0.3814674661133125,0.04070005561383549,house,Linear Regression,stress
duty_cycle,0.37573165212757237,-0.17895538895302748,house,Linear Regression,stress
median_pen_up_speed,0.37069628933080395,-0.07515732776837328,house,Linear Regression,stress
ink_density,0.3492553375486107,0.15404481583128649,house,Linear Regression,stress
pen_up_path_length,0.34275484150840335,0.15396037848600613,house,Linear Regression,stress
std_slant,0.3085520989661718,0.10018412099719229,house,Linear Regression,stress
abs_mean_slant,0.3043175315693304,0.06038843552058823,house,Linear Regression,stress
F1_in_air_time,0.28928407663642197,0.18883206039698602,house,Linear Regression,stress
p95_pen_up_speed,0.6000496403428466,-0.06641703139713444,house,Ridge Regression,TOTAL_DASS
height,0.5877937209323569,-0.06597533328383055,house,Ridge Regression,TOTAL_DASS
median_pen_up_speed,0.5614850297234945,-0.06339454909458214,house,Ridge Regression,TOTAL_DASS
pen_up_ratio,0.5438188316501944,0.18953507872585404,house,Ridge Regression,TOTAL_DASS
duty_cycle,0.5411567871612712,-0.20317739368233562,house,Ridge Regression,TOTAL_DASS
mean_slant,0.5397216845003476,0.014567016539364734,house,Ridge Regression,TOTAL_DASS
aspect_ratio,0.49798470698140523,0.04491609993608852,house,Ridge Regression,TOTAL_DASS
straightness,0.49198949117761553,-0.13841134326996604,house,Ridge Regression,TOTAL_DASS
median_acceleration,0.48837107538076663,0.028625550124024637,house,Ridge Regression,TOTAL_DASS
pen_up_path_length,0.48451137041888026,0.2283589304805657,house,Ridge Regression,TOTAL_DASS
median_speed,0.4832592247285395,-0.03882096974842229,house,Ridge Regression,TOTAL_DASS
mean_pressure,0.47892991927727224,-0.12614583345915859,house,Ridge Regression,TOTAL_DASS
abs_mean_slant,0.47366518662809337,0.04306269617840619,house,Ridge Regression,TOTAL_DASS
direction_concentration,0.4721333747045494,0.0343217842049932,house,Ridge Regression,TOTAL_DASS
stop_ratio,0.46180538800350523,0.0069251163268775045,house,Ridge Regression,TOTAL_DASS
std_slant,0.44623771586959476,0.06887395420748346,house,Ridge Regression,TOTAL_DASS
path_length,0.4195713427790935,0.20524318798505442,house,Ridge Regression,TOTAL_DASS
p95_speed,0.4127505969320351,-0.00031324418567380853,house,Ridge Regression,TOTAL_DASS
F2_on_paper_time,0.4125795611824498,0.12465902984026932,house,Ridge Regression,TOTAL_DASS
F4_stroke_count,0.36616675417298367,0.1981961716284647,house,Ridge Regression,TOTAL_DASS
abs_mean_slant,0.18043977950302845,-0.004982543697101114,house,Ridge Regression,depression
median_speed,0.17540611773774753,-0.010959242204004908,house,Ridge Regression,depression
direction_concentration,0.16992995988115478,0.016922833179107595,house,Ridge Regression,depression
median_pen_up_speed,0.1695585962607232,-0.007850722904605876,house,Ridge Regression,depression
std_slant,0.15869214564410505,0.0016586774174468116,house,Ridge Regression,depression
F2_on_paper_time,0.1585527429259804,0.03453735381053695,house,Ridge Regression,depression
p95_pen_up_speed,0.15552271239579338,-0.0009714007474329131,house,Ridge Regression,depression
pen_up_ratio,0.15486504075614174,0.03847054078387469,house,Ridge Regression,depression
mean_slant,0.15279700468399596,0.010868617996941499,house,Ridge Regression,depression
stop_ratio,0.14888652270880456,0.012287635943253125,house,Ridge Regression,depression
duty_cycle,0.14756493841347434,-0.03881919880474559,house,Ridge Regression,depression
p95_speed,0.14261459057195489,0.006707879745153056,house,Ridge Regression,depression
median_acceleration,0.13479527935139582,-0.0008891664527411085,house,Ridge Regression,depression
height,0.13027215037356685,-0.02422528099274609,house,Ridge Regression,depression
straightness,0.12945286266758488,-0.03437819223816996,house,Ridge Regression,depression
mean_pressure,0.12596727944138056,-0.02588605746568123,house,Ridge Regression,depression
F3_total_time,0.12255317660081214,0.05135968709949335,house,Ridge Regression,depression
pen_up_path_length,0.11169341476778759,0.05326490209487015,house,Ridge Regression,depression
width,0.10934466336090262,-0.021929109509584974,house,Ridge Regression,depression
aspect_ratio,0.1080438950733765,0.0015187737255280642,house,Ridge Regression,depression
pen_up_path_length,0.16005004760313052,0.08438504940783405,house,Ridge Regression,stress
path_length,0.1582025766289334,0.07425907970286913,house,Ridge Regression,stress
F4_stroke_count,0.13894023701883948,0.06634027241642632,house,Ridge Regression,stress
duty_cycle,0.1348464426503673,-0.06703613414616752,house,Ridge Regression,stress
F1_in_air_time,0.1276991452049258,0.089252547295424,house,Ridge Regression,stress
ink_density,0.12651434354693597,0.062081030616416975,house,Ridge Regression,stress
height,0.1262471934134129,0.007590382417866738,house,Ridge Regression,stress
median_acceleration,0.1257666516836368,0.012351984907329498,house,Ridge Regression,stress
pen_up_ratio,0.11725899308775597,0.06900736210416115,house,Ridge Regression,stress
straightness,0.11691333376969557,-0.05763806091008383,house,Ridge Regression,stress
mean_pressure,0.11582447151590711,-0.04328953968680582,house,Ridge Regression,stress
aspect_ratio,0.11136773860117162,0.003516104030379082,house,Ridge Regression,stress
p95_pen_up_speed,0.1113248897259058,-0.028503918645387497,house,Ridge Regression,stress
std_slant,0.10869604855288774,0.0482865711128847,house,Ridge Regression,stress
F3_total_time,0.10723004559981918,0.0786306199583059,house,Ridge Regression,stress
abs_mean_slant,0.10513389310642286,0.03810553679733552,house,Ridge Regression,stress
median_pen_up_speed,0.10339577620401566,-0.02687018282997731,house,Ridge Regression,stress
dominant_angle,0.10303919768977085,-0.039090344687674514,house,Ridge Regression,stress
p95_speed,0.10028181407213196,-0.013361712132669444,house,Ridge Regression,stress
median_speed,0.09716215190971969,-0.011751453144161473,house,Ridge Regression,stress
p95_pen_up_speed,0.1419883263832954,-0.015272225125296171,house,Ridge Regression,anxiety
height,0.13602281816728884,-0.01751890725823456,house,Ridge Regression,anxiety
median_pen_up_speed,0.12461340098323366,-0.012779520564524376,house,Ridge Regression,anxiety
pen_up_ratio,0.11833220035461024,0.036304657833153536,house,Ridge Regression,anxiety
aspect_ratio,0.11830063092462387,0.020355038972166898,house,Ridge Regression,anxiety
duty_cycle,0.11327993405169166,-0.04044349777338093,house,Ridge Regression,anxiety
straightness,0.10924494177243482,-0.019048178553239977,house,Ridge Regression,anxiety
median_speed,0.10480770680864958,-0.0060126738029369405,house,Ridge Regression,anxiety
mean_slant,0.10346787523030058,-0.0027813890456418583,house,Ridge Regression,anxiety
stop_ratio,0.09771101032820548,-0.0007537120314288492,house,Ridge Regression,anxiety
median_acceleration,0.09407000021986486,0.00038066240384211424,house,Ridge Regression,anxiety
direction_concentration,0.09307309825431018,0.010350343980507453,house,Ridge Regression,anxiety
mean_pressure,0.09264687587749142,-0.024443154772152437,house,Ridge Regression,anxiety
pen_up_path_length,0.09262372117749716,0.04116410799669467,house,Ridge Regression,anxiety
abs_mean_slant,0.09177387738836378,0.002122190729260477,house,Ridge Regression,anxiety
width,0.0909133587447786,0.0044729079228157005,house,Ridge Regression,anxiety
p95_speed,0.08849257706824955,9.51377163759238e-05,house,Ridge Regression,anxiety
F2_on_paper_time,0.0862080150046821,0.021288280272482283,house,Ridge Regression,anxiety
std_slant,0.08172877266100587,0.0045188259040684995,house,Ridge Regression,anxiety
path_length,0.07635777477692908,0.03604212610786996,house,Ridge Regression,anxiety
mean_slant,0.24836427012737425,0.013712865790358268,house,Ridge Regression,depression
abs_mean_slant,0.23953449127337548,-0.008627947201610227,house,Ridge Regression,depression
median_pen_up_speed,0.2392535002212878,-0.008749556671838328,house,Ridge Regression,depression
p95_pen_up_speed,0.23829786628625269,-0.00023738123775006553,house,Ridge Regression,depression
pen_up_ratio,0.2382547977907213,0.051431425939120506,house,Ridge Regression,depression
median_speed,0.23057497382174622,-0.01473447012384622,house,Ridge Regression,depression
direction_concentration,0.2268968903239747,0.02030568576092027,house,Ridge Regression,depression
std_slant,0.21867315219588337,0.0002001988620737967,house,Ridge Regression,depression
F2_on_paper_time,0.21450554020779927,0.041184809742326564,house,Ridge Regression,depression
duty_cycle,0.2074026162531775,-0.05450729617496889,house,Ridge Regression,depression
stop_ratio,0.20275591805833398,0.021488351823167558,house,Ridge Regression,depression
height,0.19619927423565445,-0.04142118636348099,house,Ridge Regression,depression
mean_pressure,0.19451429969258216,-0.03468645411308272,house,Ridge Regression,depression
straightness,0.18856897275229415,-0.044606462456480006,house,Ridge Regression,depression
p95_speed,0.18789473876405036,0.013440716534233567,house,Ridge Regression,depression
median_acceleration,0.17969065074480048,0.0013431716775523966,house,Ridge Regression,depression
aspect_ratio,0.17187977049406905,0.003896045875498841,house,Ridge Regression,depression
F3_total_time,0.16241212733494315,0.06488263617100924,house,Ridge Regression,depression
dominant_angle,0.1620991745924189,0.009306617805152408,house,Ridge Regression,depression
width,0.16079629743256413,-0.03719953066600095,house,Ridge Regression,depression
p95_pen_up_speed,0.22381005469853893,-0.022656106382857387,house,Ridge Regression,anxiety
height,0.20948675349745677,-0.030079817607319887,house,Ridge Regression,anxiety
aspect_ratio,0.19011291624627746,0.03460316716700152,house,Ridge Regression,anxiety
median_pen_up_speed,0.184168157839841,-0.016907814001467673,house,Ridge Regression,anxiety
pen_up_ratio,0.18294493384820185,0.049556557930263985,house,Ridge Regression,anxiety
mean_slant,0.1681407371075603,-0.00728265006695074,house,Ridge Regression,anxiety
straightness,0.1617981136862734,-0.02080334541160735,house,Ridge Regression,anxiety
duty_cycle,0.16161228709955017,-0.05759733439725124,house,Ridge Regression,anxiety
stop_ratio,0.1430544897171634,0.0007165655450619154,house,Ridge Regression,anxiety
mean_pressure,0.14154284218912436,-0.033467636170273284,house,Ridge Regression,anxiety
median_speed,0.13960353159566746,-0.007782339783418387,house,Ridge Regression,anxiety
width,0.13837602186836662,0.006245187054950205,house,Ridge Regression,anxiety
median_acceleration,0.13579223061079906,0.002410436953176186,house,Ridge Regression,anxiety
pen_up_path_length,0.12758078890932695,0.05271667614822187,house,Ridge Regression,anxiety
direction_concentration,0.12466309485397056,0.012663996244496323,house,Ridge Regression,anxiety
abs_mean_slant,0.12157034962152785,0.0002883011930220571,house,Ridge Regression,anxiety
F2_on_paper_time,0.12118818571117737,0.023783204717344728,house,Ridge Regression,anxiety
p95_speed,0.11668858798840588,0.00208684589657658,house,Ridge Regression,anxiety
std_slant,0.11325772452770061,0.0026510128895806226,house,Ridge Regression,anxiety
dominant_angle,0.10381154826741595,0.007042434409872844,house,Ridge Regression,anxiety
pen_up_path_length,0.10896128395668958,0.05846586397954755,house,Ridge Regression,stress
path_length,0.10700407539833466,0.05185887706916682,house,Ridge Regression,stress
F4_stroke_count,0.09303926622226563,0.046958659653575714,house,Ridge Regression,stress
duty_cycle,0.0888614521489929,-0.044284954905263706,house,Ridge Regression,stress
F1_in_air_time,0.08774299873347863,0.06085491153281159,house,Ridge Regression,stress
ink_density,0.08464354754173334,0.04295752561959905,house,Ridge Regression,stress
straightness,0.0790512872993279,-0.04003292157975849,house,Ridge Regression,stress
pen_up_ratio,0.07793707092243622,0.047037150274097224,house,Ridge Regression,stress
median_acceleration,0.07706644449574983,0.005357821211736022,house,Ridge Regression,stress
height,0.07549943998358445,0.006782112069456048,house,Ridge Regression,stress
F3_total_time,0.07436375539926444,0.05419133261436274,house,Ridge Regression,stress
mean_pressure,0.07186916369913963,-0.028927834896127172,house,Ridge Regression,stress
std_slant,0.07068755330182443,0.031494319634452914,house,Ridge Regression,stress
abs_mean_slant,0.06994075334837886,0.02497864308518707,house,Ridge Regression,stress
p95_pen_up_speed,0.0664563392021351,-0.016962957269480213,house,Ridge Regression,stress
median_pen_up_speed,0.06551302929632855,-0.017028624058193585,house,Ridge Regression,stress
median_speed,0.06539181774693247,-0.007454644285862312,house,Ridge Regression,stress
aspect_ratio,0.06377614702335754,0.0014456679831794277,house,Ridge Regression,stress
p95_speed,0.06377459590849473,-0.009004664185134882,house,Ridge Regression,stress
dominant_angle,0.060090706503411515,-0.02423003886453915,house,Ridge Regression,stress
pen_up_ratio,1.7584358622653957,0.23930476198984588,house,Lasso Regression,TOTAL_DASS
median_acceleration,1.0586530791302737,0.10747653703685593,house,Lasso Regression,TOTAL_DASS
height,0.7860384839060129,-0.20557654520427185,house,Lasso Regression,TOTAL_DASS
aspect_ratio,0.49067774242214524,0.07384155459612562,house,Lasso Regression,TOTAL_DASS
std_slant,0.29393220247241425,0.05302687522787763,house,Lasso Regression,TOTAL_DASS
abs_mean_slant,0.27292298341789717,0.009824818072322413,house,Lasso Regression,TOTAL_DASS
F1_in_air_time,0.0,0.0,house,Lasso Regression,TOTAL_DASS
F4_stroke_count,0.0,0.0,house,Lasso Regression,TOTAL_DASS
F2_on_paper_time,0.0,0.0,house,Lasso Regression,TOTAL_DASS
p95_speed,0.0,0.0,house,Lasso Regression,TOTAL_DASS
median_speed,0.0,0.0,house,Lasso Regression,TOTAL_DASS
path_length,0.0,0.0,house,Lasso Regression,TOTAL_DASS
duty_cycle,0.0,0.0,house,Lasso Regression,TOTAL_DASS
F3_total_time,0.0,0.0,house,Lasso Regression,TOTAL_DASS
direction_concentration,0.0,0.0,house,Lasso Regression,TOTAL_DASS
stop_ratio,0.0,0.0,house,Lasso Regression,TOTAL_DASS
straightness,0.0,0.0,house,Lasso Regression,TOTAL_DASS
mean_pressure,0.0,0.0,house,Lasso Regression,TOTAL_DASS
width,0.0,0.0,house,Lasso Regression,TOTAL_DASS
dominant_angle,0.0,0.0,house,Lasso Regression,TOTAL_DASS
pen_up_ratio,0.41967270892320985,0.057113074111852395,house,Lasso Regression,depression
abs_mean_slant,0.2992214472585425,0.010771523328069478,house,Lasso Regression,depression
std_slant,0.08570521414082884,0.015461659724237891,house,Lasso Regression,depression
aspect_ratio,0.05984675115625647,0.009006271857963148,house,Lasso Regression,depression
duty_cycle,0.05270497361458136,0.018923652818556815,house,Lasso Regression,depression
F1_in_air_time,0.0,0.0,house,Lasso Regression,depression
F2_on_paper_time,0.0,0.0,house,Lasso Regression,depression
F3_total_time,0.0,0.0,house,Lasso Regression,depression
F4_stroke_count,0.0,0.0,house,Lasso Regression,depression
p95_speed,0.0,0.0,house,Lasso Regression,depression
median_speed,0.0,0.0,house,Lasso Regression,depression
median_acceleration,0.0,0.0,house,Lasso Regression,depression
path_length,0.0,0.0,house,Lasso Regression,depression
direction_concentration,0.0,0.0,house,Lasso Regression,depression
stop_ratio,0.0,0.0,house,Lasso Regression,depression
dominant_angle,0.0,0.0,house,Lasso Regression,depression
straightness,0.0,0.0,house,Lasso Regression,depression
height,0.0,0.0,house,Lasso Regression,depression
width,0.0,0.0,house,Lasso Regression,depression
mean_pressure,0.0,0.0,house,Lasso Regression,depression
median_acceleration,0.35725389968069377,0.03626911661385565,house,Lasso Regression,stress
pen_up_ratio,0.280879215230315,0.03822472868699976,house,Lasso Regression,stress
ink_density,0.13305222165010264,0.014691433799588254,house,Lasso Regression,stress
F1_in_air_time,0.0,0.0,house,Lasso Regression,stress
F2_on_paper_time,0.0,0.0,house,Lasso Regression,stress
duty_cycle,0.0,0.0,house,Lasso Regression,stress
path_length,0.0,0.0,house,Lasso Regression,stress
F4_stroke_count,0.0,0.0,house,Lasso Regression,stress
F3_total_time,0.0,0.0,house,Lasso Regression,stress
p95_speed,0.0,0.0,house,Lasso Regression,stress
median_speed,0.0,0.0,house,Lasso Regression,stress
stop_ratio,0.0,0.0,house,Lasso Regression,stress
straightness,0.0,0.0,house,Lasso Regression,stress
mean_pressure,0.0,0.0,house,Lasso Regression,stress
width,0.0,0.0,house,Lasso Regression,stress
dominant_angle,0.0,0.0,house,Lasso Regression,stress
direction_concentration,0.0,0.0,house,Lasso Regression,stress
aspect_ratio,0.0,0.0,house,Lasso Regression,stress
height,0.0,0.0,house,Lasso Regression,stress
std_slant,0.0,0.0,house,Lasso Regression,stress
duty_cycle,0.2920695014098691,0.10486717788698877,house,Lasso Regression,anxiety
aspect_ratio,0.21765447997802817,0.03275458366432627,house,Lasso Regression,anxiety
F1_in_air_time,0.0,0.0,house,Lasso Regression,anxiety
F3_total_time,0.0,0.0,house,Lasso Regression,anxiety
F2_on_paper_time,0.0,0.0,house,Lasso Regression,anxiety
path_length,0.0,0.0,house,Lasso Regression,anxiety
median_acceleration,0.0,0.0,house,Lasso Regression,anxiety
median_speed,0.0,0.0,house,Lasso Regression,anxiety
F4_stroke_count,0.0,0.0,house,Lasso Regression,anxiety
p95_speed,0.0,0.0,house,Lasso Regression,anxiety
