Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
cursive_writing;Lasso Regression;multi-output;Stress;852.147.160.905.188;9.231.181.727.737.720;-0.10836680732670256;3.824.769.253.556.930;53.284.274.872.641.600
cursive_writing;Lasso Regression;multi-output;Anxiety;4.624.916.735.442.430;6.800.674.036.771.970;-0.0771554567300905;3.824.769.253.556.930;53.284.274.872.641.600
cursive_writing;Lasso Regression;subscales;Depression;4.593.912.938.473.840;6.777.841.056.320.100;-0.0010912434829060125;3.401.678.497.245.980;5.113.567.251.891.460
cursive_writing;Lasso Regression;subscales;Anxiety;4.624.916.735.442.430;6.800.674.036.771.970;-0.0771554567300905;3.214.628.120.616.710;3.191.418.474.849.480
cursive_writing;Lasso Regression;subscales;Stress;852.147.160.905.188;9.231.181.727.737.720;-0.10836680732670256;48.580.011.428.081.100;7.939.880.265.757.940
cursive_writing;Elastic Net;total;TOTAL DASS;4.051.276.285.124.300;20.127.782.503.605.000;-0.050805858510898805;26.886.822.735.133.600;22.486.354.708.044.300
cursive_writing;Elastic Net;multi-output;Depression;4.594.396.220.200.120;6.778.197.562.921.960;-0.0011965587361084662;3.856.716.236.617.500;370.507.591.368.712
cursive_writing;Elastic Net;multi-output;Stress;8.388.619.943.384.850;9.158.940.955.910.160;-0.09108711864394281;3.856.716.236.617.500;370.507.591.368.712
cursive_writing;Elastic Net;multi-output;Anxiety;4.657.023.343.108.220;6.824.238.670.436.590;-0.08463317138369009;3.856.716.236.617.500;370.507.591.368.712
cursive_writing;Elastic Net;subscales;Depression;48.482.410.516.827.400;6.962.931.172.776.830;-0.05651363622627725;3.369.009.907.235.130;2.896.681.013.291.120
cursive_writing;Elastic Net;subscales;Anxiety;4.657.023.343.108.220;6.824.238.670.436.590;-0.08463317138369009;32.013.727.443.285.800;19.582.904.213.514.400
cursive_writing;Elastic Net;subscales;Stress;8.388.619.943.384.850;9.158.940.955.910.160;-0.09108711864394281;49.479.860.573.782.200;6.364.211.264.571.300
cursive_writing;Random Forest;total;TOTAL DASS;4.204.516.043.252.750;205.049.165.890.836;-0.09055265045136274;31.194.461.642.832.000;36.921.560.302.129.200
cursive_writing;Random Forest;multi-output;Depression;4.862.553.461.538.460;6.973.201.174.165.600;-0.059632552142097506;4.250.584.434.920.630;0.37671520791896945
cursive_writing;Random Forest;multi-output;Stress;9.127.396.538.461.530;9.553.740.910.481.890;-0.1871779693302289;4.250.584.434.920.630;0.37671520791896945
cursive_writing;Random Forest;multi-output;Anxiety;47.719.726.923.076.900;6.907.946.650.277.260;-0.11140518173987957;4.250.584.434.920.630;0.37671520791896945
cursive_writing;Random Forest;subscales;Depression;49.647.769.230.769.200;704.611.731.599.533;-0.08190877147738651;3.857.396.457.142.850;0.8417309196437092
cursive_writing;Random Forest;subscales;Anxiety;4.783.690.060.766.850;6.916.422.529.579.040;-0.11413418814070386;3.533.152.732.892.850;0.51286106719589
cursive_writing;Random Forest;subscales;Stress;8.886.984.958.086.030;9.427.080.649.960.530;-0.15590822766939794;5.277.900.205.178.750;0.4536931473946635
cursive_writing;Gradient Boosting;total;TOTAL DASS;39.246.922.226.378.100;1.981.083.598.094.180;-0.01797292757915092;2.905.968.385.213.220;33.580.042.384.293.500
cursive_writing;Gradient Boosting;multi-output;Depression;4.517.724.390.348.680;6.721.401.929.916.620;0.015511528359590798;40.587.095.727.428.300;37.549.939.176.762.100
cursive_writing;Gradient Boosting;multi-output;Stress;8.063.451.751.402.400;8.979.672.461.399.910;-0.04879329343082506;40.587.095.727.428.300;37.549.939.176.762.100
cursive_writing;Gradient Boosting;multi-output;Anxiety;4.559.511.057.258.080;6.752.415.165.892.930;-0.06192229964047158;40.587.095.727.428.300;37.549.939.176.762.100
cursive_writing;Gradient Boosting;subscales;Depression;45.683.598.419.062.300;675.896.430.076.845;0.004477207978913045;3.547.271.882.635.670;4.611.212.411.412.820
cursive_writing;Gradient Boosting;subscales;Anxiety;4.563.619.291.646.030;6.755.456.529.092.630;-0.06287911839886884;3.388.134.461.382.560;4.264.390.738.447.280
cursive_writing;Gradient Boosting;subscales;Stress;8.063.451.751.402.400;8.979.672.461.399.910;-0.04879329343082506;518.600.700.772.412;374.741.884.003.189
pentagon;Linear Regression;total;TOTAL DASS;2.978.501.944.826.600;17.258.336.955.879.000;0.05910983630404887;42.701.296.352.772.100;9.252.523.915.078.830
pentagon;Linear Regression;multi-output;Depression;4.391.232.571.246.700;6.626.637.587.228.310;-0.005818865639811488;6.029.465.815.758.420;1.270.666.512.270.950
pentagon;Linear Regression;multi-output;Stress;5.735.870.193.282.630;75.735.527.946.153.700;0.04071047732333921;6.029.465.815.758.420;1.270.666.512.270.950
pentagon;Linear Regression;multi-output;Anxiety;42.112.345.163.245.200;6.489.402.527.447.750;-0.1392190696047788;6.029.465.815.758.420;1.270.666.512.270.950
pentagon;Linear Regression;subscales;Depression;4.391.232.571.246.700;6.626.637.587.228.310;-0.005818865639811488;6.174.625.499.294.470;3.829.864.124.070.960
pentagon;Linear Regression;subscales;Anxiety;42.112.345.163.245.200;6.489.402.527.447.750;-0.1392190696047788;4.358.714.935.472.510;12.307.801.081.716.500
